"id";"objectid";"point_lat";"point_lng";"shape";"objecttype";"type_velo";"ligging";"straatnaam";"huisnummer";"aanvulling";"district";"postcode";"objectcode";"gebruik"
"31";"34255";"51.21012452888900";"4.42234589823390";"";"VELOSTATION";"ENKELZIJDIG";"";"Mercatorstraat (2018)";"18";"to 18";"ANTWERPEN";"2018";"VE_0000006";"IN_GEBRUIK"
"34";"34256";"51.21004470253200";"4.42825632943060";"";"VELOSTATION";"";"";"Plantin en Moretuslei (2140)";" ";" ";"BORGERHOUT";"2140";"VE_0000111";"IN_GEBRUIK"
"37";"34257";"51.22412482469100";"4.43213582978210";"";"VELOSTATION";"";"";"Lange Stuivenbergstraat (2060)";"86-88";"to 86-88";"ANTWERPEN";"2060";"VE_0000101";"IN_GEBRUIK"
"40";"34258";"51.22760980223100";"4.43921360139810";"";"VELOSTATION";"";"";"Schijnpoortweg (2060)";"27-29";" ";"ANTWERPEN";"2060";"VE_0000120";"IN_GEBRUIK"
"43";"34259";"51.23140826956100";"4.37865931048760";"";"VELOSTATION";"";"";"August Vermeylenlaan (2050)";"7";"to 7";"ANTWERPEN";"2050";"VE_0000144";"IN_GEBRUIK"
"46";"34260";"51.22788381836900";"4.37864146512850";"";"VELOSTATION";"";"";"August Vermeylenlaan (2050)";" ";"charles de costerlaan";"ANTWERPEN";"2050";"VE_0000145";"IN_GEBRUIK"
"49";"34261";"51.21838953713400";"4.38558346368550";"";"VELOSTATION";"ENKELZIJDIG";"";"Beatrijslaan (2050)";"42";" ";"ANTWERPEN";"2050";"VE_0000153";"IN_GEBRUIK"
"52";"34262";"51.22000679951100";"4.37573391961640";"";"VELOSTATION";"ENKELZIJDIG";"";"Blancefloerlaan (2050)";"163-165";" ";"ANTWERPEN";"2050";"VE_0000152";"IN_GEBRUIK"
"55";"34263";"51.22059112225600";"4.38647651642890";"";"VELOSTATION";"ENKELZIJDIG";"";"Blancefloerlaan (2050)";" ";"to frederick van eedenplein";"ANTWERPEN";"2050";"VE_0000149";"IN_GEBRUIK"
"58";"34264";"51.23337734142900";"4.38253818064570";"";"VELOSTATION";"ENKELZIJDIG";"";"Esmoreitlaan (2050)";"13";"thv lodewijk van veltheimlaan";"ANTWERPEN";"2050";"VE_0000142";"IN_GEBRUIK"
"61";"34265";"51.22311537852100";"4.38624360483970";"";"VELOSTATION";"";"";"Frederik van Eedenplein (2050)";"4";"to 4";"ANTWERPEN";"2050";"VE_0000148";"IN_GEBRUIK"
"64";"34266";"51.23137742352300";"4.38610805085890";"";"VELOSTATION";"";"";"Gloriantlaan (2050)";"31";" ";"ANTWERPEN";"2050";"VE_0000143";"IN_GEBRUIK"
"67";"34267";"51.23517819031800";"4.38684514415280";"";"VELOSTATION";"";"";"Gloriantlaan (2050)";" ";"thv kastanjedreef";"ANTWERPEN";"2050";"VE_0000141";"IN_GEBRUIK"
"70";"34268";"51.23125799953500";"4.39162224281040";"";"VELOSTATION";"";"";"Thonetlaan (2050)";" ";"to jachthaven";"ANTWERPEN";"2050";"VE_0000140";"IN_GEBRUIK"
"73";"34269";"51.22399175809000";"4.37789826867840";"";"VELOSTATION";"";"";"Halewijnlaan (2050)";"88";" ";"ANTWERPEN";"2050";"VE_0000147";"IN_GEBRUIK"
"76";"34270";"51.22764750982100";"4.38587309620960";"";"VELOSTATION";"ENKELZIJDIG";"";"Reinaartlaan (2050)";" ";"thv gloriantlaan";"ANTWERPEN";"2050";"VE_0000146";"IN_GEBRUIK"
"79";"34271";"51.22008425610600";"4.38179009719210";"";"VELOSTATION";"";"";"Waterhoenlaan (2050)";"12";" ";"ANTWERPEN";"2050";"VE_0000150";"IN_GEBRUIK"
"82";"34272";"51.23135451585400";"4.40356629504520";"";"VELOSTATION";"DUBBELZIJDIG";"";"Amsterdamstraat (2000)";" ";"thv rijnkaai";"ANTWERPEN";"2000";"VE_0000138";"IN_GEBRUIK"
"85";"34273";"51.23106877499700";"4.41267138046990";"";"VELOSTATION";"ENKELZIJDIG";"";"Londenstraat (2000)";"53";" ";"ANTWERPEN";"2000";"VE_0000139";"IN_GEBRUIK"
"88";"34274";"51.22970049419300";"4.40572274169410";"";"VELOSTATION";"";"";"Sint-Laureiskaai (2000)";" ";" ";"ANTWERPEN";"2000";"VE_0000137";"IN_GEBRUIK"
"91";"34275";"51.22163752410500";"4.40050168751400";"";"VELOSTATION";"";"";"Wisselstraat (2000)";"12";"to 12";"ANTWERPEN";"2000";"VE_0000060";"IN_GEBRUIK"
"94";"34276";"51.22823962010500";"4.41336974357810";"";"VELOSTATION";"";"";"Italiëlei (2000)";"4";"thv FOD financien";"ANTWERPEN";"2000";"VE_0000127";"IN_GEBRUIK"
"97";"34277";"51.19683198906900";"4.40579270468220";"";"VELOSTATION";"";"";"Jan Van Rijswijcklaan (2018)";"86";" ";"ANTWERPEN";"2018";"VE_0000014";"IN_GEBRUIK"
"100";"34278";"51.22373497017100";"4.40297193731650";"";"VELOSTATION";"ENKELZIJDIG";"";"Sint-Paulusstraat (2000)";"42";"thv lange koepoortstraat";"ANTWERPEN";"2000";"VE_0000050";"IN_GEBRUIK"
"103";"34279";"51.21279490270200";"4.40942912926730";"";"VELOSTATION";"";"";"Oudevaartplaats (2000)";" ";"thv frankrijklei";"ANTWERPEN";"2000";"VE_0000077";"IN_GEBRUIK"
"106";"34280";"51.20594642078600";"4.39288065261590";"";"VELOSTATION";"";"";"Amerikalei (2000)";"162";"graaf van hoorplein thv graaf van hoornstraat";"ANTWERPEN";"2000";"VE_0000080";"IN_GEBRUIK"
"109";"34281";"51.19683539384800";"4.39631884968460";"";"VELOSTATION";"";"";"Desguinlei (2018)";"246";"to 246 oh plein";"ANTWERPEN";"2018";"VE_0000040";"IN_GEBRUIK"
"112";"34282";"51.22240483034400";"4.43004365758740";"";"VELOSTATION";"";"";"Duinstraat (2060)";"83-87";" ";"ANTWERPEN";"2060";"VE_0000102";"IN_GEBRUIK"
"115";"34283";"51.22803377765500";"4.41898701094480";"";"VELOSTATION";"";"";"Lange Dijkstraat (2060)";"46";"thv van aerdtstraat";"ANTWERPEN";"2060";"VE_0000126";"IN_GEBRUIK"
"118";"34284";"51.21399229225700";"4.39799376041440";"";"VELOSTATION";"";"";"Nationalestraat (2000)";"111-113";"to 111-113 thv lange vlierstraat";"ANTWERPEN";"2000";"VE_0000076";"IN_GEBRUIK"
"121";"34285";"51.20363221944800";"4.41524202133090";"";"VELOSTATION";"";"";"Belgiëlei (2018)";"157";"thv greterystraat";"ANTWERPEN";"2018";"VE_0000043";"IN_GEBRUIK"
"124";"34286";"51.20105345453300";"4.43400942603720";"";"VELOSTATION";"ENKELZIJDIG";"";"Burgemeester E. Ryckaertsplein (2600)";" ";"NMBS station Berchem";"BERCHEM";"2600";"VE_0000008";"IN_GEBRUIK"
"127";"34287";"51.20341310301200";"4.43676572188850";"";"VELOSTATION";"";"";"Uitbreidingstraat (2600)";"578";" ";"BERCHEM";"2600";"VE_0000112";"IN_GEBRUIK"
"130";"34288";"51.21027536720800";"4.39686301243820";"";"VELOSTATION";"";"";"Karel Rogierstraat (2000)";"2-4";" ";"ANTWERPEN";"2000";"VE_0000016";"IN_GEBRUIK"
"133";"34289";"51.21125374444500";"4.44197710132670";"";"VELOSTATION";"";"";"Fonteinstraat (2140)";"70";"to 70";"BORGERHOUT";"2140";"VE_0000069";"IN_GEBRUIK"
"136";"34290";"51.22036949096400";"4.37858257586720";"";"VELOSTATION";"DUBBELZIJDIG";"";"Blancefloerlaan (2050)";"48a";"to 48a middenberm thv halewijnlaan";"ANTWERPEN";"2050";"VE_0000151";"IN_GEBRUIK"
"139";"34291";"51.21785962520300";"4.41646188770250";"";"VELOSTATION";"ENKELZIJDIG";"";"De Keyserlei (2018)";" ";"thv van ertbornstraat";"ANTWERPEN";"2018";"VE_0000024";"IN_GEBRUIK"
"142";"34292";"51.19907271424900";"4.41545358080330";"";"VELOSTATION";"";"";"Grotesteenweg (2600)";" ";"thv boomgaardstraat";"BERCHEM";"2600";"VE_0000046";"IN_GEBRUIK"
"145";"34293";"51.20155129396500";"4.42357517753960";"";"VELOSTATION";"";"";"Boomgaardstraat (2018)";" ";"thv militair hospitaal";"ANTWERPEN";"2018";"VE_0000047";"IN_GEBRUIK"
"148";"34294";"51.21550779607000";"4.42563836686210";"";"VELOSTATION";"";"";"Provinciestraat (2018)";" ";"thv plein";"ANTWERPEN";"2018";"VE_0000119";"IN_GEBRUIK"
"151";"34295";"51.22604203613400";"4.42342560318940";"";"VELOSTATION";"";"";"Van Kerckhovenstraat (2060)";"16";"to 16 thv st-norbertusstraat";"ANTWERPEN";"2060";"VE_0000125";"IN_GEBRUIK"
"154";"34296";"51.22287837314500";"4.40622400402100";"";"VELOSTATION";"";"";"Mutsaardstraat (2000)";" ";"mutsaardplein thv blindestraat";"ANTWERPEN";"2000";"VE_0000051";"IN_GEBRUIK"
"157";"34297";"51.20078257680600";"4.39807744703140";"";"VELOSTATION";"";"";"Fransenplaats (2018)";" ";"thv moonstraat";"ANTWERPEN";"2018";"VE_0000041";"IN_GEBRUIK"
"160";"34298";"51.19690552880400";"4.42807315200130";"";"VELOSTATION";"";"";"Vredestraat (2600)";"99";"thv zonnebloemstraat";"BERCHEM";"2600";"VE_0000055";"IN_GEBRUIK"
"163";"34299";"51.21301725372000";"4.42163843776500";"";"VELOSTATION";"DUBBELZIJDIG";"";"Kievitplein (2018)";" ";" ";"ANTWERPEN";"2018";"VE_0000003";"IN_GEBRUIK"
"166";"34300";"51.20691982223300";"4.43013065810740";"";"VELOSTATION";"";"";"Dageraadplaats (2018)";" ";" ";"ANTWERPEN";"2018";"VE_0000110";"IN_GEBRUIK"
"169";"34301";"51.19791127187300";"4.42541479447380";"";"VELOSTATION";"";"";"Statiestraat (2600)";" ";"thv victor jacobslei";"BERCHEM";"2600";"VE_0000061";"IN_GEBRUIK"
"172";"34302";"51.19553644769100";"4.41912805007720";"";"VELOSTATION";"";"";"Grotesteenweg (2600)";" ";"thv driekoningenstraat";"BERCHEM";"2600";"VE_0000021";"IN_GEBRUIK"
"175";"34303";"51.19976002069600";"4.43046662327710";"";"VELOSTATION";"";"";"Statiestraat (2600)";" ";"thv posthoflei";"BERCHEM";"2600";"VE_0000022";"IN_GEBRUIK"
"178";"34304";"51.21630874248500";"4.43351645889900";"";"VELOSTATION";"";"";"Laar (2140)";" ";"thv kerkplein";"BORGERHOUT";"2140";"VE_0000030";"IN_GEBRUIK"
"181";"34305";"51.21119547964800";"4.43395643499260";"";"VELOSTATION";"";"";"Koxplein (2140)";" ";"thv betogingstraat";"BORGERHOUT";"2140";"VE_0000039";"IN_GEBRUIK"
"184";"34306";"51.21602259606500";"4.43996908535890";"";"VELOSTATION";"";"";"Krugerplein (2140)";" ";"thv delarayestraat                 ";"BORGERHOUT";"2140";"VE_0000108";"IN_GEBRUIK"
"187";"34307";"51.21738806187900";"4.42001646693320";"";"VELOSTATION";"ENKELZIJDIG";"";"De Keyserlei (2018)";"57";" ";"ANTWERPEN";"2018";"VE_0000004";"IN_GEBRUIK"
"190";"34308";"51.22150861148300";"4.40868822321410";"";"VELOSTATION";"";"";"Keizerstraat (2000)";"56-58";"to 56-58";"ANTWERPEN";"2000";"VE_0000028";"IN_GEBRUIK"
"193";"34309";"51.20377699279700";"4.42077013046000";"";"VELOSTATION";"ENKELZIJDIG";"";"Lamorinièrestraat (2018)";"148";" ";"ANTWERPEN";"2018";"VE_0000130";"IN_GEBRUIK"
"196";"34310";"51.20537333682800";"4.41351779471680";"";"VELOSTATION";"ENKELZIJDIG";"";"Sint-Vincentiusstraat (2018)";"61";"to 61";"ANTWERPEN";"2018";"VE_0000093";"IN_GEBRUIK"
"199";"34311";"51.19844525696200";"4.40219662728780";"";"VELOSTATION";"ENKELZIJDIG";"";"Van Schoonbekestraat (2018)";" ";"thv markgravelei";"ANTWERPEN";"2018";"VE_0000089";"IN_GEBRUIK"
"202";"34312";"51.20576894398400";"4.39879385445840";"";"VELOSTATION";"ENKELZIJDIG";"";"Boudewijnsstraat (2018)";"19-21";"to 19-21";"ANTWERPEN";"2018";"VE_0000085";"IN_GEBRUIK"
"205";"34313";"51.21336707125200";"4.41327703383260";"";"VELOSTATION";"ENKELZIJDIG";"";"Rubenslei (2018)";" ";"thv ingang park";"ANTWERPEN";"2018";"VE_0000096";"IN_GEBRUIK"
"208";"34314";"51.21650381345300";"4.39374722646900";"";"VELOSTATION";"";"";"Plantinkaai (2000)";"27";"to 27";"ANTWERPEN";"2000";"VE_0000065";"IN_GEBRUIK"
"211";"34315";"51.21888381446600";"4.40119750243500";"";"VELOSTATION";"ENKELZIJDIG";"";"Groenplaats (2000)";"7";" ";"ANTWERPEN";"2000";"VE_0000017";"IN_GEBRUIK"
"214";"34316";"51.22187539291200";"4.41289259056530";"";"VELOSTATION";"ENKELZIJDIG";"";"Pieter van Hobokenstraat (2000)";"19-21";" ";"ANTWERPEN";"2000";"VE_0000054";"IN_GEBRUIK"
"217";"34317";"51.22724086891500";"4.42228468155020";"";"VELOSTATION";"ENKELZIJDIG";"";"Trapstraat (2060)";"10";" ";"ANTWERPEN";"2060";"VE_0000118";"IN_GEBRUIK"
"220";"34318";"51.22734414679600";"4.43069659595460";"";"VELOSTATION";"";"";"Stuivenbergplein (2060)";"36-1";"to 36-1";"ANTWERPEN";"2060";"VE_0000121";"IN_GEBRUIK"
"223";"34319";"51.19294471557800";"4.42103436520040";"";"VELOSTATION";"";"";"Heilig Hartstraat (2600)";" ";"naast de kerk";"BERCHEM";"2600";"VE_0000103";"IN_GEBRUIK"
"226";"34320";"51.19312160918300";"4.40800264304510";"";"VELOSTATION";"ENKELZIJDIG";"";"Karel Oomsstraat (2018)";"69";"to 69 od middenberm thv binnensingel";"ANTWERPEN";"2018";"VE_0000031";"IN_GEBRUIK"
"229";"34321";"51.19375572983500";"4.41223689172320";"";"VELOSTATION";"ENKELZIJDIG";"";"De Wittestraat (2600)";" ";"thv generaal lemanstraat";"BERCHEM";"2600";"VE_0000131";"IN_GEBRUIK"
"232";"34322";"51.19510434321800";"4.41751680254830";"";"VELOSTATION";"";"";"Frans Van Hombeeckplein (2600)";"10";"to 10";"BERCHEM";"2600";"VE_0000100";"IN_GEBRUIK"
"235";"34323";"51.19709245848000";"4.41027881352030";"";"VELOSTATION";"";"";"Generaal Lemanstraat (2018)";"6";"to 6 thv karel oomsstraat";"ANTWERPEN";"2018";"VE_0000099";"IN_GEBRUIK"
"238";"34324";"51.19846926922200";"4.39071870992600";"";"VELOSTATION";"DUBBELZIJDIG";"";"Desguinlei (2018)";" ";"kielsbroek thv montignystraat";"ANTWERPEN";"2018";"VE_0000010";"IN_GEBRUIK"
"241";"34325";"51.19987539393900";"4.41878996120190";"";"VELOSTATION";"ENKELZIJDIG";"";"Boomgaardstraat (2018)";"31";" ";"ANTWERPEN";"2018";"VE_0000098";"IN_GEBRUIK"
"244";"34326";"51.20077334534700";"4.39421324791480";"";"VELOSTATION";"ENKELZIJDIG";"";"Lange Elzenstraat (2018)";"56";" ";"ANTWERPEN";"2018";"VE_0000087";"IN_GEBRUIK"
"247";"34327";"51.20103730383300";"4.43405976594590";"";"VELOSTATION";"ENKELZIJDIG";"";"Burgemeester E. Ryckaertsplein (2600)";" ";"NMBS station Berchem";"BERCHEM";"2600";"VE_0000007";"IN_GEBRUIK"
"250";"34328";"51.20898020182700";"4.43769553737610";"";"VELOSTATION";"ENKELZIJDIG";"";"Wilrijkstraat (2140)";" ";"thv plantin moretuslei";"BORGERHOUT";"2140";"VE_0000009";"IN_GEBRUIK"
"253";"34329";"51.20119382970200";"4.40224224576010";"";"VELOSTATION";"ENKELZIJDIG";"";"Van Trierstraat (2018)";"2";"to 2 thv haantjeslei";"ANTWERPEN";"2018";"VE_0000088";"IN_GEBRUIK"
"256";"34330";"51.20177747718200";"4.40606503642410";"";"VELOSTATION";"ENKELZIJDIG";"";"Lange Lozanastraat (2018)";" ";" ";"ANTWERPEN";"2018";"VE_0000029";"IN_GEBRUIK"
"259";"34331";"51.20228446617300";"4.41207056691840";"";"VELOSTATION";"ENKELZIJDIG";"";"Mechelsesteenweg (2018)";" ";"thv ingang harmoniepark";"ANTWERPEN";"2018";"VE_0000042";"IN_GEBRUIK"
"262";"34332";"51.20320765555800";"4.42844611628450";"";"VELOSTATION";"ENKELZIJDIG";"";"Stanleystraat (2018)";"1";"to 1 thv lange leemstraat";"ANTWERPEN";"2018";"VE_0000097";"IN_GEBRUIK"
"265";"34333";"51.20341796491700";"4.39184231515370";"";"VELOSTATION";"";"";"Troonplaats (2018)";" ";"thv montignystraat";"ANTWERPEN";"2018";"VE_0000086";"IN_GEBRUIK"
"268";"34334";"51.20459747639000";"4.41056984059590";"";"VELOSTATION";"ENKELZIJDIG";"";"Mechelsesteenweg (2018)";"180";" ";"ANTWERPEN";"2018";"VE_0000092";"IN_GEBRUIK"
"271";"34335";"51.20454625106400";"4.40477472399490";"";"VELOSTATION";"ENKELZIJDIG";"";"Vinkenstraat (2018)";"7";"to 7";"ANTWERPEN";"2018";"VE_0000090";"IN_GEBRUIK"
"274";"34336";"51.20472026940900";"4.38763761217780";"";"VELOSTATION";"";"";"Bolivarplaats (2000)";" ";"thv gerechtsgebouw";"ANTWERPEN";"2000";"VE_0000081";"IN_GEBRUIK"
"277";"34337";"51.20544717338500";"4.43226389496800";"";"VELOSTATION";"ENKELZIJDIG";"";"Draakplaats (2018)";" ";" ";"BERCHEM";"2600";"VE_0000106";"IN_GEBRUIK"
"280";"34338";"51.20772229774200";"4.39839990622010";"";"VELOSTATION";"ENKELZIJDIG";"";"Amerikalei (2000)";"82";" ";"ANTWERPEN";"2000";"VE_0000083";"IN_GEBRUIK"
"283";"34339";"51.20782169070700";"4.39439279364560";"";"VELOSTATION";"";"";"Beeldhouwersstraat (2000)";" ";"thv admiraal de boisotstraat";"ANTWERPEN";"2000";"VE_0000015";"IN_GEBRUIK"
"286";"34340";"51.20823733012300";"4.42433083482810";"";"VELOSTATION";"ENKELZIJDIG";"";"Provinciestraat (2018)";" ";"thv mercatorstraat";"ANTWERPEN";"2018";"VE_0000104";"IN_GEBRUIK"
"289";"34341";"51.20883007611900";"4.38731573207820";"";"VELOSTATION";"ENKELZIJDIG";"";"Verviersstraat (2000)";"2-4";"thv waalsekaai";"ANTWERPEN";"2000";"VE_0000082";"IN_GEBRUIK"
"292";"34342";"51.20882303673500";"4.40829787138240";"";"VELOSTATION";"ENKELZIJDIG";"";"Mechelsesteenweg (2018)";"66";" ";"ANTWERPEN";"2018";"VE_0000091";"IN_GEBRUIK"
"295";"34343";"51.20903567738300";"4.43265526829760";"";"VELOSTATION";"ENKELZIJDIG";"";"Plantin en Moretuslei (2018)";"158";" ";"ANTWERPEN";"2018";"VE_0000105";"IN_GEBRUIK"
"298";"34344";"51.20917545332100";"4.40289724729680";"";"VELOSTATION";"";"";"Britselei (2000)";"86-94";" ";"ANTWERPEN";"2000";"VE_0000078";"IN_GEBRUIK"
"301";"34345";"51.20985192518800";"4.39097536022640";"";"VELOSTATION";"";"";"Vlaamsekaai (2000)";"35";" ";"ANTWERPEN";"2000";"VE_0000075";"IN_GEBRUIK"
